session_id,policy,data_acquisition_start_utc,data_acquisition_end_utc,acquisition_precision,exact_time_available,processing_date_utc,archive_date_utc,n_runs,ros_distro,lora,tracking,robots
HWS-002-FIFO,FIFO,2026-07,2026-07,month,false,2026-07-22,2026-09-22T18:00:22Z,10,ROS 2 Humble,RYLR998,Vicon,"LIMO-01,LIMO-02"
HWS-003-BACS,BACS,2026-07,2026-07,month,false,2026-07-22,2026-09-22T18:00:22Z,10,ROS 2 Humble,RYLR998,Vicon,"LIMO-01,LIMO-02"
HWS-005-BACS+,BACS+,2026-07,2026-07,month,false,2026-07-22,2026-09-22T18:00:22Z,10,ROS 2 Humble,RYLR998,Vicon,"LIMO-01,LIMO-02"
