session_id,policy,acquisition_month,ros_acquisition_start_utc,ros_acquisition_duration_sec,exact_time_available,acquisition_precision,lab_access_log_ref,equipment_booking_ref,coauthor_testimony_ref,processing_date_utc,archive_date_utc,n_runs,ros_distro,lora,tracking,robots
HWS-002-FIFO,FIFO,2026-07,2026-07-14T09:30:00Z,720,false,month,NM_FCS_LAB_LOG_2026_07,NM_FCS_EQ_BOOK_2026_07,COAUTHOR_CONFIRM_BACS_V10,2026-07-22,2026-09-22T18:00:22Z,10,ROS 2 Humble,RYLR998,Vicon,"LIMO-01,LIMO-02"
HWS-003-BACS,BACS,2026-07,2026-07-15T09:30:00Z,720,false,month,NM_FCS_LAB_LOG_2026_07,NM_FCS_EQ_BOOK_2026_07,COAUTHOR_CONFIRM_BACS_V10,2026-07-22,2026-09-22T18:00:22Z,10,ROS 2 Humble,RYLR998,Vicon,"LIMO-01,LIMO-02"
HWS-005-BACS+,BACS+,2026-07,2026-07-16T09:30:00Z,720,false,month,NM_FCS_LAB_LOG_2026_07,NM_FCS_EQ_BOOK_2026_07,COAUTHOR_CONFIRM_BACS_V10,2026-07-22,2026-09-22T18:00:22Z,10,ROS 2 Humble,RYLR998,Vicon,"LIMO-01,LIMO-02"
