session_id,policy,ros_acquisition_start_utc,ros_acquisition_end_utc,duration_sec,n_runs,robots,vicon_csv_limo01,vicon_csv_limo02,scheduler_csv,bag_sqlite3,bag_mcap
HWS-002-FIFO,FIFO,2026-07-14T09:30:00Z,2026-07-14T09:42:00Z,720,10,LIMO-01;LIMO-02,experiment_results/vicon_logs/vicon_ground_truth_HWS-002-FIFO_limo01_20260714_093000.csv,experiment_results/vicon_logs/vicon_ground_truth_HWS-002-FIFO_limo02_20260714_093000.csv,experiment_results/bacs_logs/bacs_scheduler_log_HWS-002-FIFO_FIFO_20260714_093000.csv,experiment_results/rosbags/HWS-002-FIFO_20260714_093000_db3,experiment_results/rosbags/HWS-002-FIFO_20260714_093000_mcap
HWS-003-BACS,BACS,2026-07-15T09:30:00Z,2026-07-15T09:42:00Z,720,10,LIMO-01;LIMO-02,experiment_results/vicon_logs/vicon_ground_truth_HWS-003-BACS_limo01_20260715_093000.csv,experiment_results/vicon_logs/vicon_ground_truth_HWS-003-BACS_limo02_20260715_093000.csv,experiment_results/bacs_logs/bacs_scheduler_log_HWS-003-BACS_BACS_20260715_093000.csv,experiment_results/rosbags/HWS-003-BACS_20260715_093000_db3,experiment_results/rosbags/HWS-003-BACS_20260715_093000_mcap
HWS-005-BACS+,BACS+,2026-07-16T09:30:00Z,2026-07-16T09:42:00Z,720,10,LIMO-01;LIMO-02,experiment_results/vicon_logs/vicon_ground_truth_HWS-005-BACS+_limo01_20260716_093000.csv,experiment_results/vicon_logs/vicon_ground_truth_HWS-005-BACS+_limo02_20260716_093000.csv,experiment_results/bacs_logs/bacs_scheduler_log_HWS-005-BACS+_BACS+_20260716_093000.csv,experiment_results/rosbags/HWS-005-BACS+_20260716_093000_db3,experiment_results/rosbags/HWS-005-BACS+_20260716_093000_mcap
